descripcion	imgUrl	precio	precioPeso	oferta	tipoOferta
LIMPIADOR DETTOL ESPADOL CITRUS DOY PACK X 450 ML.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2820393_m.jpg	$67.50 x un.	$ 150.0 x Litros		
CAPSULAS DE CAFE LA VIRGINIA SUTIL X 10 UN.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2030413_m.jpg	$290.00 x un.	$ 29.0 x Unidad		
REPARADOR DE MUEBLES REX CLARO X 125 ML.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2660081_m.jpg	$188.70 x un.	$ 1509.6 x Litros		
EUCERIN PROTECTOR SUN KIDS LOCION FPS 50+ X 150 ML.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/4681718_m.jpg	$1,790.00 x un.	$ 11933.33 x Unidad		
BIZCOCHOS DE ARROZ GALLO SALADOS X 100 GR.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2141567_m.jpg	$68.90 x un.	$ 689.0 x Kilogramo		
TE LA VIRGINIA CEDRON X 25 UN.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2020063_m.jpg	$77.50 x un.	$ 3.1 x Unidad	Llevando 2: $71.50 c/u	
YERBA AMANDA ESPECIAL X 1 KG.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2010266_m.jpg	$279.00 x un.	$ 279.0 x Kilogramo		
TOMATE TRITURADO AGROSABOR X 950 GR.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2350080_m.jpg	$109.00 x un.	$ 114.74 x Kilogramo		
JUEGO DE INGENIO ACAUDALADO INTERNACIONAL X UN - ART 2344.-	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3869217_m.jpg	$1,239.00 x un.	$ 1239.0 x Unidad		
ALMOHADON PARA SILLA VH FABRICS CUERINA CHOCOLATE 40X40 CM. - ART .2077-06	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3600026_m.jpg	$599.00 x un.	$ 599.0 x Unidad		
LIMPIADOR AYUDIN ANTI HONGOS DOY PACK X 500 ML.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2820265_m.jpg	$59.50 x un.	$ 119.0 x Litros		
PAPEL AFICHE COLOR LUMA X 2 UN. - ART. 300126	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3732126_m.jpg	$54.00 x un.	$ 27.0 x Unidad		
CAPSULAS DE CAFE LA VIRGINIA INTENSO X 10 UN.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2030411_m.jpg	$290.00 x un.	$ 29.0 x Unidad		
LUBRICANTE WD-40 220 GR. X UN. - ART.ST03035	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3871549_m.jpg	$545.00 x un.	$ 2.48 x Kilogramo		
MANTA DIDACTICA CON ARCOS LEON X UN. - ART. DI2135	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3861602_m.jpg	$5,099.00 x un.	$ 5099.0 x Unidad		
FOSFOROS RANCHERA PROCER X 220 UN.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2730075_m.jpg	$30.90 x un.	$ 0.14 x Unidad		
ARROZ VANGUARDIA LARGO FINO X 1 KG.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2290302_m.jpg	$59.90 x un.	$ 59.9 x Kilogramo		
VINO ZUCCARDI SERIE A MALBEC BOTELLA X 750 CC.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3062578_m.jpg	$604.50 x un.	$ 806.0 x Litros		
VINO NORTON MALBEC DOC BOTELLA X 750 CC.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3060074_m.jpg	$379.00 x un.	$ 505.33 x Litros		
ACONDICIONADOR PANTENE MAXPROV LISO EXTREMO X 200 ML.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2915230_m.jpg	$181.50 x un.	$ 907.5 x Litros		
ACONDICIONADOR SUAVE MANZANA VERDE X 930 ML.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2915398_m.jpg	$96.40 x un.	$ 103.66 x Litros		
VINO ESTANCIA MENDOZA SYRAH BOTELLA X 750 CC.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3061992_m.jpg	$193.50 x un.	$ 258.0 x Litros		
PALMERITAS NEVARES X 45 GR.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2141599_m.jpg	$13.90 x un.	$ 308.89 x Kilogramo		
TE LA MORENITA TILO X 20 UN.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2020069_m.jpg	$103.00 x un.	$ 5.15 x Unidad	Llevando 2: $92.50 c/u	
MATE COCIDO LA TRANQUERA X 100 UN.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2010267_m.jpg	$175.00 x un.	$ 1.75 x Unidad		
POLVO PARA HORNEAR YUSPE X 50 GR.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2160734_m.jpg	$36.50 x un.	$ 730.0 x Kilogramo	Llevando 2: $34.50 c/u	
CACEROLA GUADIXFLON CON ASAS 20 CM. - ART. 182	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3639686_m.jpg	$1,669.00 x un.	$ 1669.0 x Unidad		
AZUCAR ARCOR MASCABO X 500 GR.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2000095_m.jpg	$51.50 x un.	$ 103.0 x Kilogramo		
BOMBILLA LOEKEMEYER CURVA NIQUELADA - ART. 553	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3630718_m.jpg	$269.00 x un.	$ 269.0 x		
ACONDICIONADOR SEDAL BOMBA COCO X 650 ML.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2915831_m.jpg	$234.00 x un.antes $264.90 x un.	$ 360.0 x Litros		promotionSuperIcon
JABON EN POLVO ALA LAV MANO CORE MAX SUAV X 400 GR.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2841787_m.jpg	$62.20 x un.	$ 155.5 x Kilogramo		
YERBA VERDEFLOR COMPUESTA X 1 KG.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2010294_m.jpg	$219.00 x un.	$ 219.0 x Kilogramo		
LAMPARA SIXELECTRIC LED BULB 7 W 3000K CALIDA X UN-ART 7WCSIX	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3720967_m.jpg	$95.00 x un.	$ 95.0 x Unidad		
VINO ALMA MORA CABERNET SAUVIGNON BOTELLA X 750 CC.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3061269_m.jpg	$219.60 x un.	$ 292.8 x Litros		
CUADERNO LEDESMA EXECUTIVE UNIVERSITARIO CUADRICULADO TAPA BORDO 84 HOJAS X UN. - ART. 705839	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3731726_m.jpg	$325.00 x un.	$ 3.87 x Hoja		
LIMPIADOR DETTOL ESPADOL LAVANDA DOY PACK X 450 ML.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2820392_m.jpg	$67.50 x un.	$ 150.0 x Litros		
INSECTICIDA RAID DOBLE ACCION AEROSOL X 360 ML.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2700266_m.jpg	$171.50 x un.	$ 476.39 x Litros		
JUEGO DE INGENIO CONQUISTA DEL MUNDO X UN-ART 2022	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3868457_m.jpg	$1,549.00 x un.	$ 1549.0 x Unidad		
CAPPUCCINO LA VIRGINIA CORTADO DOY PACK X 125 GR.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2030450_m.jpg	$129.00 x un.	$ 1032.0 x Kilogramo		
		0			
